source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
81,30,S02001923,S02001872,2.283578952497124e-08,2.283578952497124e-08,132
81,29,S02001923,S02001871,1.3136251308007469e-08,1.3136251308007469e-08,133
82,90,S02001924,S02001932,0.0010617907074004,0.0010617907074004,1
82,92,S02001924,S02001934,0.0004046425339588,0.0004046425339588,2
82,79,S02001924,S02001921,0.0003345054223977,0.0003345054223977,3
82,81,S02001924,S02001923,0.0002426332296657,0.0002426332296657,4
82,96,S02001924,S02001938,0.0002397691991068,0.0002397691991068,5
82,91,S02001924,S02001933,0.00023636333495,0.00023636333495,6
82,80,S02001924,S02001922,0.0002276803597937,0.0002276803597937,7
82,83,S02001924,S02001925,0.0002240804404347,0.0002240804404347,8
82,98,S02001924,S02001940,0.0001918232082424,0.0001918232082424,9
82,84,S02001924,S02001926,0.000189553317869,0.000189553317869,10
82,88,S02001924,S02001930,0.0001737587179883,0.0001737587179883,11
82,100,S02001924,S02001942,0.0001585137112435,0.0001585137112435,12
82,48,S02001924,S02001890,0.0001088829721145,0.0001088829721145,13
82,105,S02001924,S02001947,9.480105886377907e-05,9.480105886377907e-05,14
82,99,S02001924,S02001941,9.211457164143264e-05,9.211457164143264e-05,15
82,14,S02001924,S02001856,9.077319746125392e-05,9.077319746125392e-05,16
82,65,S02001924,S02001907,9.071883158618432e-05,9.071883158618432e-05,17
82,73,S02001924,S02001915,7.677754696032577e-05,7.677754696032577e-05,18
82,44,S02001924,S02001886,7.665140273698273e-05,7.665140273698273e-05,19
82,75,S02001924,S02001917,7.563584527475368e-05,7.563584527475368e-05,20
82,76,S02001924,S02001918,6.9817076554744e-05,6.9817076554744e-05,21
82,67,S02001924,S02001909,6.979450623934495e-05,6.979450623934495e-05,22
82,13,S02001924,S02001855,6.803133322199618e-05,6.803133322199618e-05,23
82,68,S02001924,S02001910,6.6866637768921e-05,6.6866637768921e-05,24
82,49,S02001924,S02001891,6.51493163405037e-05,6.51493163405037e-05,25
82,59,S02001924,S02001901,6.469663776510793e-05,6.469663776510793e-05,26
82,78,S02001924,S02001920,6.439774624688295e-05,6.439774624688295e-05,27
82,77,S02001924,S02001919,5.967058065359561e-05,5.967058065359561e-05,28
